,Learning Community Title,,CRN,Subject,Course #,Liberal Learning  Attribute,Day,Time,NOTES,,,,,,,,,,,,,,,,
50,Let's Get Down to Business,18,8354,MATH,125,LLFM,MWF,1400-1450,Cannot be in 125 and 135,,,,,,,,,,,,,,,,
50,Let's Get Down to Business,18,8372,MATH,135,LLFM,MWF,1400-1450,Cannot be in 125 and 135,,,,,,,,,,,,,,,,
50,Let's Get Down to Business,18,8420,ECON,202,LLFE,R ,1800-2100,,,,,,,,,,,,,,,,,
50,Let's Get Down to Business,18,8821,PHIL,207,LLFR,MW ,1600-1715,No Athletes,,,,,,,,,,,,,,,,
51,Let's Get Down to Business,20,8413,ECON,201,LLFE,TR,1100-1215,,,,,,,,,,,,,,,,,
51,Let's Get Down to Business,20,8819,PHIL,207,LLFR,MW,1800-1915,,,,,,,,,,,,,,,,,
52,Let's Get Down to Business (ILC),20,8350,MATH,125,LLFM,MWF,1100-1150,,,,,,,,,,,,,,,,,
52,Let's Get Down to Business (ILC),20,8418,ECON,202,LLFE,TR ,1500-1615,Super No Athletes,,,,,,,,,,,,,,,,
52,Let's Get Down to Business (ILC),20,8818,PHIL,207,LLFR,MWF,1400-1450,ILC: Tweedt,,,,,,,,,,,,,,,,
53,Let's Get Down to Business (ILC),16,8620,HIST,121,AIDE,TR,0800-0915,(ECON/BUSN Preference),,,,,,,,,,,,,,,,
53,Let's Get Down to Business (ILC),16,8411,ECON,201,LLFE,MWF,1100-1150,ILC: Kotula,,,,,,,,,,,,,,,,
54,"Music To My Ears, All Things Musical, The Sound of Music",19,8656,MUSC,012,,,,MUSIC MAJORS ONLY,,,,,,,,,,,,,,,,
54,"Music To My Ears, All Things Musical, The Sound of Music",19,8691,MUSC,209,,TR,0930-1045,CHECK ACCEPTED SPREADSHEET,,,,,,,,,,,,,,,,
54,"Music To My Ears, All Things Musical, The Sound of Music",19,8692,MUSC,211,,MWF ,1000-1050,ILC: Hamm,,,,,,,,,,,,,,,,
55,Navigating the Liberal Arts and Sciences,19,8608,HIST,112,AIGM,MWF,1200-1250,,,,,,,,,,,,,,,,,
55,Navigating the Liberal Arts and Sciences,19,8578,FNAR,201,AICE,TR,1800-1915,,,,,,,,,,,,,,,,,
55,Navigating the Liberal Arts and Sciences,19,8010,BIOL,115,AINW,MW,1600-1715,No Athletes SUPER,,,,,,,,,,,,,,,,
56,Navigating the Liberal Arts and Sciences,18,8001,BIOL,107,AINW,TR,1800-1915,SUPER,,,,,,,,,,,,,,,,
56,Navigating the Liberal Arts and Sciences,18,8583,FNAR,202,AICE,MWF,1000-1050,,,,,,,,,,,,,,,,,
56,Navigating the Liberal Arts and Sciences,18,8170,CPSC,110,LLFR,MWF,1400-1450,,,,,,,,,,,,,,,,,
57,Pursuing the Liberal Arts and Sciences,16,9107,ENGL,123,LLFW,MWF,1000-1050,closed,,,,,,,,,,,,,,,,
57,Pursuing the Liberal Arts and Sciences,16,8784,SPAN,200,LLFL,TR,0930-1045,,,,,,,,,,,,,,,,,
57,Pursuing the Liberal Arts and Sciences,16,8168,CPSC,110,LLFR,MWF,1500-1550,Closed -No Athletes *used in 2,,,,,,,,,,,,,,,,
58,Pursuing the Liberal Arts and Sciences,18,8344,MATH,115,LLFM,MWF,1400-1450,,,,,,,,,,,,,,,,,
58,Pursuing the Liberal Arts and Sciences,18,8614,HIST,112,AIGM,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
58,Pursuing the Liberal Arts and Sciences,18,8783,SPAN,200,LLFE,TR,0800-0915,,,,,,,,,,,,,,,,,
59,Pursuing the Liberal Arts and Sciences,19,9220,IDST,267,AIGM,TR,0930-1045,,,,,,,,,,,,,,,,,
59,Pursuing the Liberal Arts and Sciences,19,8771,SPAN,200,LLFL,TR,1100-1215,,,,,,,,,,,,,,,,,
60,The American Experiment (ILC),18,8846,RSTD,236,AIWT,MWF,1300-1350,,,,,,.,,,,,,,,,,,
60,The American Experiment (ILC),20,8055,BIOL,113,AINW,MW ,1800-1915,,,,,,,,,,,,,,,,,
60,The American Experiment (ILC),20,8470,AMST,100,AIDE,MWF,1100-1150,ILC: Garmon,,,,,,,,,,,,,,,,
61,The American Experiment,19,8474,AMST,100,AIDE,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
61,The American Experiment,19,8580,FNAR,202,AICE,MWF,1100-1150,Used in 3,,,,,,,,,,,,,,,,
61,The American Experiment,19,8498,LDSP,210,,TR,1500-1615,PLP ONLY No Athletes,Assigned to Chace,,,,,,,,,,,,,,,
62,The American Experiment ,16,8813,PHIL,205,LLFR,TR,1100-1215,,,,,,,,,,,,,,,,,
62,The American Experiment ,16,8471,AMST,100,AIDE,TR,1330-1445,*Used twice,,,,,,,,,,,,,,,,
62,The American Experiment ,16,8581,FNAR,202,AICE,MWF,1400-1450,,,,,,,,,,,,,,,,,
63,The American Experiment,19,8582,FNAR,202,AICE,MWF,1500-1550,No Athletes,,,,,,,,,,,,,,,,
63,The American Experiment,19,8471,AMST,100,AIDE,TR,1330-1445,*Used twice,,,,,,,,,,,,,,,,
63,The American Experiment,19,8632,HIST,213,AIWT,TR,0930-1045,,,,,,,,,,,,,,,,,
64,How Things Work,20,8254,PHYS,141,AINW,TR,1500-1615,No Athletes,,,,,,,,,,,,,,,,
64,How Things Work,20,8726,CLST,212,AIWT,MWF,1200-1250,,,,,,,,,,,,,,,,,
65,Understanding the Modern World,18,8890,PSYC,202,,TR,1100-1215,PSYC MAJORS ONLY,,,,,,,,,,,,,,,,
65,Understanding the Modern World,18,8777,SPAN,200,LLFL,MWF,0900-0950,,,,,,,,,,,,,,,,,
65,Understanding the Modern World,18,8609,HIST,112,AIGM,MWF,1300-1350,,,,,,,,,,,,,,,,,
66,Understanding the Modern World,19,8889,PSYC,202,,MWF,1400-1450,PSYC MAJORS ONLY SUPER,,,,,,,,,,,,,,,,
66,Understanding the Modern World,19,8496,LDSP,210,,M,1800-2100,PLP ONLY,,,,,,,,,,,,,,,,
66,Understanding the Modern World,19,8611,HIST,112,AIGM,TR,1100-1215,,,,,,,,,,,,,,,,,
67,Understanding the Modern World,18,8348,MATH,125,LLFM,MWF,0800-0850,,,,,,,,,,,,,,,,,
67,Understanding the Modern World,18,8888,PSYC,201,AINW,TR,0930-1045,SUPER,,,,,,,,,,,,,,,,
68,Understanding the Modern World,19,8890,PSYC,202,,TR,1100-1215,PSYC MAJORS ONLY SUPER,,,,,,,,,,,,,,,,
68,Understanding the Modern World,19,8610,HIST,112,AIGM,MWF,1400-1450,,,,,,,,,,,,,,,,,
68,Understanding the Modern World,19,8360,MATH,125,LLFM,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
69,Understanding the Modern World (ILC),16,8001,BIOL,107,AINW,TR,1800-1915,SUPER,,,,,,,,,,,,,,,,
69,Understanding the Modern World (ILC),16,8517,ANTH,203,AIGM,MWF,1400-1450,,,,,,,,,,,,,,,,,
69,Understanding the Modern World (ILC),16,9109,ENGL,123,LLFW,TR,0930-1045,ILC: Eleftheriou,,,,,,,,,,,,,,,,
70,Understanding the Modern World,18,8836,RSTD,211,AIGM,TR,1500-1615,No Athletes,,,,,,,,,,,,,,,,
70,Understanding the Modern World,18,8625,HIST,122,AIWT,MWF,0900-0950,,,,,,,,,,,,,,,,,
71,The Show Must Go On (ILC),16,8866,THEA,232,AICE,MW,1430-1545,ILC: Stetkevych (THEA MAJORS),,,,,,,,,,,,,,,,
71,The Show Must Go On (ILC),16,8172,CPSC,110,LLFR,MW ,1930-2045,,,,,,,,,,,,,,,,,
72,Navigating the Liberal Arts and Sciences,8,9378,COLL,140,,TR,1730-1620,,,,,,,,,,,,,,,,,
