CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,
"8681","MUSC 112","1","Marching Band","1","  AICE","Lab","MWF","1600-1750","FERG R106","Johnson, Mark","66","Open","184","250","","","","",
"8682","MUSC 115","1","Keyboard Skills I","1","","Lab","TR","1100-1215","FERG 213","Tomassetti, Elizabeth","8","Open","5","13","","","","",
"8683","MUSC 115","2","Keyboard Skills I","1","","Lab","TR","0800-0915","FERG 213","Tomassetti, Elizabeth","8","Open","5","13","","","","",
"9343","MUSC 122","1","String Chamber Music","1","","Lab","","","ARR ","Tews, Jacob","16","Open","3","19","","","","",
"8684","MUSC 124","1","Percussion Ensemble","1","","Lab","MWF","1500-1550","FERG R106","Amman, Scott","7","Open","17","24","","","","",
"8685","MUSC 125","1","Elementary Improv Skills I","1","","Lab","MWF","0800-0850","FERG A183","Sully, Ballard","13","Open","16","29","","","","",
"9248","MUSC 127","1","Ensemble Accompanying","1","","Lab","","","ARR ","Corbin, Benjamin","16","Open","3","19","","","","",
"8686","MUSC 135","1","Music Fundamentals","1","","Lec","M","1100-1150","FERG 210","McNeill, Michael","10","Open","9","19","","","","",
"8687","MUSC 138","1","Elmntry Keybrd Skills: Musc Th","1","","Lab","TR","1630-1745","FERG 213","Kim, Seung-Hye","2","Open","11","13","","","","",
"8689","MUSC 143","1","Aural Skills I: Music Theatre","1","","Lab","TR","1100-1215","FERG 210","Tews, Jacob","7","Open","12","19","","","","",
"8690","MUSC 200","1","Music Technology","1","","Lec","MWF","1000-1050","FERG 213","Tfirn, Maxwell","3","Open","9","12","","","","",
"8716","MUSC 200","2","Music Technology","1","","Lec","MWF","1400-1450","FERG 213","Tfirn, Maxwell","3","Open","9","12","","","","",
"8691","MUSC 209","1C","Aural Skills I","1","","Lab","TR","0930-1045","FERG 210","Hamm, Chelsey","2","Open","17","19","","","","",
"8692","MUSC 211","1C","Music Theory I","3","","Lec","MWF","1000-1050","FERG 210","Hamm, Chelsey","3","Open","16","19","","","","",
"8693","MUSC 214","1","Jazz History &amp; Literature","3","  AICE","Lec","TR","1330-1445","FERG 207","Sully, Ballard","0","Closed","19","19","","","","",
"8694","MUSC 215","1","Keyboard Skills III","1","","Lab","TR","0930-1045","FERG 213","Tomassetti, Elizabeth","7","Open","6","13","","","","",
"8715","MUSC 215","2","Keyboard Skills III","1","","Lab","TR","1500-1615","FERG 213","Kim, Seung-Hye","8","Open","5","13","","","","",
"8695","MUSC 220","1","Brass Instrument Techniques","1","","Lab","TR","1330-1445","FERG A183","Johnson, Mark","11","Open","8","19","","","","",
"8696","MUSC 240","1","Percussion Techniques","1","","Lab","MWF","0900-0950","FERG R106","Amman, Scott","11","Open","8","19","","","","",
"8697","MUSC 260","1","Voice Techniques","1","","Lab","MWF","1100-1150","FERG R118","Irving, John","11","Open","8","19","","","","",
"8698","MUSC 265","1","Foreign Language Diction I","1","","Lec","MWF","1100-1150","FERG A183","Cook, Carol","16","Open","3","19","","","","",
"8699","MUSC 303","1","History of Western Music I","3","","Lec","TR","1100-1215","FERG 207","Doleac, Benjamin","4","Open","15","19","","","","",
"8700","MUSC 305","1","History of Western Music III","3","","Lec","TR","1500-1615","FERG 207","Doleac, Benjamin","8","Open","11","19","","","","",
"8701","MUSC 309","1","Aural Skills III","1","","Lab","TR","1330-1445","FERG 210","Tews, Jacob","8","Open","11","19","","","","",
"8702","MUSC 311","1","Music Theory III: Chromatic HF","3","","Lec","MWF","0900-0950","FERG 210","Hamm, Chelsey","8","Open","11","19","","","","",
"8704","MUSC 315","1","Aesthtcs &amp; Techniqs Music Tech","3","  AICE","Lec","MWF","1100-1150","FERG 213","Tfirn, Maxwell","0","Closed","12","12","","","","",
"8705","MUSC 316","1","Princ Instrumental Conducting","3","","Lec","MWF","1000-1050","FERG A183","Reimer, Mark","14","Open","5","19","","","","",
"8706","MUSC 337","1","WI:Music in Elementary Schools","3","  WI","Lec","TR","1100-1215","FERG A182","Ankney, Kimberly","15","Open","4","19","","","","",
"8707","MUSC 415","1","Orchestration","1","","Lec","R","0930-1045","FERG A183","Tews, Jacob","12","Open","7","19","","","","",
"8708","MUSC 430","1","Wind Literature","3","","Lec","TR","1500-1615","FERG A183","Reimer, Mark","17","Open","2","19","","","","",
"9344","MUSC 492","1","Music Capstone Project","3","","Lab","","","ARR ","Hamm, Chelsey","-1","Closed","1","0","","","","",
"8709","MUSC 510","1","Foundations of Music Education","3","","Lec","TR","1330-1445","FERG A182","Ankney, Kimberly","14","Open","4","18","","","","",
"8713","MUSC 520","1","Choral Literature &amp; Conducting","3","","Lec","MW","1600-1715","FERG R118","Irving, John","16","Open","2","18","","","","",
"8710","MUSC 530","1","Wind Literature &amp; Conducting","3","","Lec","TR","1500-1615","FERG A183","Reimer, Mark","12","Open","6","18","","","","",
"8711","MUSC 545","1","Contemporary Skills &amp; Issues","3","","Lec","M","1730-2015","FERG A182","Ankney, Kimberly","10","Open","8","18","","","","",
"8712","MUSC 580","1","Jazz Ensemble Techniques","1","","Lec","R","2000-2115","FERG R118","McNeill, Michael","9","Open","9","18","","","","",
"9454","MUSC 599","1","IND ST: Teach Eval Musc Educat","2","","Ind","","","ARR ","Ankney, Kimberly","-1","Closed","1","0","","","","",
"8155","NEUR 201","1","Introduction of Neuroscience","3","","Lec","MWF","1500-1550","FORBES 2070D","Salazar, Anna","30","Open","18","48","","","","",
